id;driverclassname;url;name;username;jhi_password;initialize
1;Bedfordshire;http://jeremie.org;indigo Handcrafted Wooden Pants compress;Costa Rican Colon;Operations;true
2;Bacon International recontextualize;https://name.com;Group Tokelau scalable;Investment Account orchid;Dynamic Assistant Avon;false
3;Games JSON Credit Card Account;https://alisa.info;neural Saint Vincent and the Grenadines parse;auxiliary;invoice redefine;true
4;Costa Rican Colon;https://meta.net;Causeway synthesizing extranet;Extension Sausages;green;true
5;Steel;https://michael.info;architect;Mobility New Hampshire;teal;false
6;Officer;https://edmund.info;optical Clothing;Timor-Leste lime;Minnesota;true
7;payment;https://juliana.com;neural Drive;1080p;capacitor Square payment;false
8;Jewelery Washington Sports;https://dave.com;Intelligent SCSI;silver;generating Plastic Bike;false
9;Salad Chief;https://asia.biz;withdrawal;synthesizing system Human;Kazakhstan Mission;false
10;capability programming Hill;https://gloria.name;bleeding-edge;Functionality New Zealand;EXE matrix reboot;false
